Frecuencia,Palabra,Significado
281,残る,"v. remain, be left"
282,最後,"n. last, end"
283,車,n. car; wheel
284,初めて,"adv. for the first time, first"
285,今度,"n. this time, next time"
286,体【からだ】,n. body
287,私達,pron. we
288,強い,"i-adj. strong, powerful"
289,全く,"adv. entirely, completely; (not) at all"
290,呼ぶ,v. call
291,結局,"adv. after all, in the end, finally"
292,歩く,v. walk
293,男,"n. man, male"
294,女性,"n. woman, female"
295,学校,n. school
296,生きる,v. live
297,なかなか,"adv. very, quite; (not) easily"
298,先【さき】,"n. end, front"
299,もっと,adv. more
300,ことができる,"cp. can, be able to"
301,テーマ,"n. theme, subject"
302,世界,n. world
303,状態,"n. state, conditions"
304,と,"interj. well, erm (abbreviation of “eeto”)"
305,もし,"adv. if, in case"
306,全然,"adv. (not) at all; utterly, completely"
307,飲む,v. drink
308,新しい,"i-adj. new, fresh"
309,の,p. disc. EMOTION/QUESTION
310,早い,"i-adj. early, soon"
311,会う,"v. meet, see"
312,アメリカ,n. America
313,あれ,pron. that
314,小さい,"i-adj. small, little, tiny"
315,相手,n. companion; partner
316,母,n. mother
317,以上,n. more than; mentioned above; since
318,関係,"n. relationship, connection"
319,四,num. four
320,たぶん,"adv. probably, perhaps, maybe"
321,店【店】,"n. store, shop"
322,どんな,"adn. what, what kind of"
323,頭,n. head
324,電話（する）,"[1] n. telephone, call [2] v. phone, call"
325,長い,i-adj. long
326,ことになる,"cp. it happens that ... , it is decided that"
327,本,n. book
328,どの,"adn. which, what"
329,こちら,"pron. this place, here; this way; this"
330,いわゆる,"adn. what is called, what you call, so-called"
331,わ,p. disc. EXCLAMATION
332,夜,"n. night, evening"
333,別,"na-adj. separate, different"
334,者,"n. person, people"
335,タイトル,n. title
336,親,n. parent
337,名前,n. name
338,全部,"adv. all, whole, entire"
339,皆さん,"n. everybody, everyone"
340,により,cp. by; with; depending on
341,きれい,"na-adj. beautiful, pretty; clean"
342,立つ,v. stand
343,毎日,adv. every day
344,ために,cp. for
345,おいしい,"i-adj. delicious, tasty"
346,または,conj. or
347,家族,n. family
348,に対する,cp. to; for; against
349,部分,"n. part, section"
350,一度,n. once
351,結果,n. result
352,じゃ,"conj. well, so, then"
353,状況,"n. state of affairs, situation"
354,時代,"n. time, era"
355,少ない,"i-adj. a little, a few"
356,他【ほか】,"n. another, other"
357,うまい,"i-adj. delicious, tasty; good at"
358,覚える,"v. learn, remember, memorize"
359,東京,n. Tokyo
360,てある,cp. [describes a state resulting from someone’s action]
361,続く,"v. continue, go on, last"
362,における,cp. in
363,俺,pron. I (used by male speakers)
364,生まれる,v. be born
365,父,n. father
366,確か,"[1] na-adj., adv. sure, certain, reliable [2] adv. maybe, probably; if I remember rightly, it’s my understanding that"
367,それぞれ,n. each
368,方法,"n. way, method"
369,はず,"n. ought to, should"
370,説明（する）,[1] n. explanation [2] v. explain
371,なければいけない,"cp. must, have to, need to"
372,部屋,n. room
373,ちょうど,"adv. just, exactly"
374,当然,"adv., n. naturally, as a matter of course"
375,大学,"n. university, college"
376,ですから,"conj. so, therefore"
377,実【じつ】,"n. truth, true, real"
378,朝,n. morning
379,どんどん,"adv. rapidly, fast, soon"
380,得る【える】,"v. get, obtain"
380,得る【うる】,"v. get, obtain"
381,とにかく,"adv. anyway, regardless"
382,選ぶ,"v. choose, select"
383,面白い,i-adj. interesting; fun; funny
384,戻る,"v. return, go back"
385,勉強（する）,"[1] n. study [2] v. learn, study"
386,やめる,"v. stop, give up"
387,下【した】,n. under; below; down; low
388,始める,"v. start, begin"
389,まわり,"n. circumference; surroundings, neighborhood, around"
390,犬,n. dog
391,必ず,"adv. always, certainly, surely"
392,残す,v. leave
393,大事,"na-adj. important, serious"
394,嬉しい,"i-adj. glad, happy"
395,力,"n. power, strength"
396,遊ぶ,v. play
397,若い,i-adj. young
398,理由,n. reason
399,女,"n. woman, female"
400,簡単,na-adj. easy
401,始まる,"v. start, begin"
402,死ぬ,v. die
403,今回,n. this time
404,に関する,"cp. be concerned with, be related to"
405,人生,n. life
406,通り,n. street; as
407,内容,n. contents
408,テレビ,"n. television, TV"
409,経験（する）,[1] n. experience [2] v. experience
410,木,n. wood; tree
411,点,"n. point, score"
412,自然,[1] n. nature [2] na-adj. natural [3] adv. naturally
413,音,"n. sound, noise"
414,海,"n. sea, ocean"
415,一応,"adv. at first glance; at least, just"
416,与える,"v. give, present"
417,利用（する）,"[1] n. use, utilization [2] v. utilize"
418,働く,v. work
419,一杯,"n., adv. cup(ful), glass(ful), be full of, a lot of"
420,近く,"n. near, nearby"
421,つまり,"adv. in short, that is to say, after all"
422,共,"n. with, together"
423,存在（する）,[1] n. existence [2] v. exist
424,絶対,"n., adv. absolute, absolutely, whatever"
425,日本人,n. Japanese (person)
426,大切,na-adj. important
427,足,n. foot; leg
428,切る,v. cut
429,走る,v. run
430,待つ,v. wait
431,写真,"n. picture, photo"
432,子供たち,n. children
433,だんだん,"adv. gradually, more and more, less and less"
434,二つ,num. two
435,楽しむ,"v. enjoy, have a good time"
436,五,n. five
437,多く,"n. many, most"
438,寝る,"v. sleep; lie down, go to bed"
439,英語,n. English language
440,決める,"v. decide, fix"
441,忘れる,v. forget
442,口,n. mouth
443,送る,v. send; spend (time)
444,姿,"n. figure, shape, appearance"
445,なくなる,v. disappear; be gone
446,時期,"n. time, period, season"
447,逆,"n., na-adj. contrary, opposite"
448,頑張る,v. do one’s best
449,示す,v. show
450,こそ,p. EMPHATIC
451,人々,n. people
452,道,"n. way, road"
453,有名,"na-adj. famous, well-known"
454,てもいい,cp. (I) don’t mind if
455,思い,"n. thought, mind, heart"
456,しかも,"conj. moreover, besides"
457,難しい,"i-adj. difficult, hard"
458,彼ら,pron. they
459,山,n. mountain
460,程度,"n. degree, grade, level, limit"
461,でない,cp. COPULA (NEGATIVE)
462,願う,"v. wish, ask, pray"
463,すでに,"adv. already, before"
464,昭和,n. Showa era
465,向かう,"v. face; go (toward, in the direction of）"
466,連れる,"v. take somebody, accompany"
467,変える,v. change
468,影響（する）,"[1] n. influence [2] v. affect, influence"
469,病院,"n. hospital, clinic"
470,年【とし】,n. year; age
471,花,n. flower
472,求める,"v. ask for, request, demand"
473,情報,n. information
474,もらう,"v. get, have, receive"
475,友人,n. friend
476,だめ,"na-adj. useless, hopeless, impossible"
477,経つ,"v. pass, go by"
478,先程,n. a short while ago
479,一回,n. once
480,十分【じゅうぶん】,"[1] na-adj. enough, sufficient [2] adv. fully, sufficiently, adequately"
481,小さな,"adn. small, little, tiny"
482,開く【ひらく】,v. open; bloom; hold
483,無人島,n. uninhabited island
484,続ける,"v. continue, keep up, go on"
485,重要,na-adj. important
486,といった,"cp. like, such as"
487,当たる,"v. hit, bump, touch; guess right, win"
488,近い,"i-adj. near, close"
489,結婚（する）,"[1] n. marriage [2] v. marry, get married"
490,認める【みとめる】,"v. recognize, acknowledge, admit, approve, accept"
491,これら,pron. these
492,歴史,n. history
493,増える,"v. increase, gain"
494,音楽,n. music
495,なければならない,cp. must
496,外,n. outside
497,進む,"v. to go forward, make progress"
498,起きる,v. get up; wake; happen
499,嫌,"n., na-adj. unpleasant, disagreeable"
500,駅,n. station
501,いや,interj. No
502,はい,interj. yes; all right
503,映画,n. movie
504,身,"n. body, oneself; position"
505,客,"n. guest, visitor; customer"
506,質問（する）,[1] n. question [2] v. question
507,含む,"v. contain, include"
508,地域,"n. region, area"
509,我が,"adn. my, our, one’s"
510,どうしても,"adv. by all means, at any cost, no matter what, after all"
511,のに,"p. conj. although, though; in order to"
512,娘,n. daughter
513,見せる,v. show
514,一日【いちにち】,"n. a day, the day, one day"
515,今年,n. this year
516,平成,n. Heisei era
517,図,"n. drawing, figure, diagram"
518,紹介（する）,[1] n. introduction [2] v. introduce
519,合わせる,"v. join, add up; adjust"
520,安い,"i-adj. low, cheap"
521,夢,n. dream
522,つらい,"i-adj. hard, difficult, painful"
523,規定（する）,"[1] n. regulations, stipulations [2] v. prescribe"
524,どちら,pron. where; which; who
525,中心,n. center
526,起こる,"v. happen, occur, take place"
527,我々,pron. we
528,（お）母さん,"n. mother, Mom"
529,立てる,"v. stand, set up, put up"
530,最も,"adv. most, extremely"
531,色,n. color
532,探す,"v. look for, search for, seek"
533,ちゃんと,"adv. exactly, regularly, properly"
534,興味,n. interest
535,三つ,num. three
536,てほしい,cp. want /ask someone to do
537,いただく,"v. get, receive (humble)"
538,売る,v. sell
539,変化（する）,"[1] n. change [2] v. change, vary"
540,印象,n. impression
541,作品,"n. work, production"
542,でございます,cp. be (formal)
543,参加（する）,"[1] n. participation [2] v. take part in, participate"
544,夏,n. summer
545,よる,v. be due to
546,理解（する）,[1] n. understanding [2] v. understand
547,事件,"n. incident, event"
548,中国,n. China
549,ずつ,"p. each, ... by ..."
550,母親,n. mother
551,取り敢えず,adv. for the time being; at once
552,ところが,conj. however
553,目的,n. purpose
554,様々,"na-adj. various, all kinds of"
555,答える,"v. answer, respond"
556,過ごす,"v. spend, live"
557,上がる,"v. go up, rise; end; get nervous"
558,一方,[1] n. one side [2] conj. on the other hand
559,病気,"n. sickness, illness"
560,心配（する）,"[1] na-adj. anxious, worried [2] n. anxiety, worry, care [3] v. worry, be anxious"
561,それでも,"conj. but, still"
562,イメージ（する）,"[1] n. image [2] v. imagine, have an impression"
563,笑い,"n. laugh, laughter"
564,午後,"n. afternoon, p.m."
565,後【ご】,"n. after, later, since"
566,動く,v. move; work (machine)
567,主人,n. shop owner; husband
568,加える,"v. add, include"
569,困る,"v. have difficulty, be in trouble"
570,取れる,v. come off; be removed
571,環境,n. environment
572,対応（する）,"[1] n. correspondence, response [2] v. respond to"
573,比べる,"v. compare, contrast"
574,高校,n. high school
575,食事（する）,[1] n. meal [2] v. have a meal
576,引く,"v. pull, draw, lead; subtract"
577,辺,"n. region, area around"
578,要するに,"conj. in short, to sum up"
579,離れる,v. separate; leave; be away from
580,火【ひ】,n. fire
581,実施（する）,"[1] n. operation [2] v. enforce, conduct"
582,今後,"adv. in the future, from now on"
583,社会,n. society
584,練習（する）,"[1] n. practice, training [2] v. practice, train"
585,使用（する）,[1] n. use [2] v. use
586,越える,"v. cross over, go over"
587,図る,v. attempt; plan; strive
588,企業,"n. company, business"
589,奴,"n. guy, fellow"
590,はっきり,"adv. clearly, certainly"
591,怖い,"i-adj. frightening, scary; terrified"
592,例【れい】,n. example
593,絵,"n. picture, painting"
594,思い出す,v. remember
595,に関して,"cp. about, regarding, concerning"
596,酒,"n. alcohol, sake, rice wine"
597,原因,n. cause
598,お前,n. you (colloquial)
599,守る,"v. protect, defend; keep, obey"
600,小学校,"n. elementary school, primary school"
601,回る,"v. spin, turn, go around; go via"
602,広い,"i-adj. wide, broad, large"
603,猫,n. cat
604,向こう,n. other side; over there
605,同時,"n. simultaneous, at the same time"
606,調べる,v. investigate; look up; examine; check
607,のぼる,"v. go up, rise; reach"
608,六,num. six
609,のみ,"p. only, merely"
610,向ける,"v. turn, point"
611,落ちる,"v. fall, drop"
612,だが,"conj. but, however"
613,決まる,v. be decided
614,起こす,v. wake; raise; cause
615,場,n. field; place; occasion
616,いずれ,"[1] adv. anyway, sooner or later [2] pron. either"
617,ホテル,n. hotel
618,対象,"n. object, target, subject"
619,打つ【うつ】,"v. hit, strike, beat"
620,以前,"n. before, formerly"
621,夫,n. husband
622,確認（する）,[1] n. confirmation [2] v. confirm
623,数【かず】,n. number
624,意見,"n. opinion, idea"
625,割と,"adv. comparatively, rather"
626,大丈夫,"na-adj. safe, all right"
627,通う,"v. attend, go to, commute"
628,申し上げる,"v. tell, say (humble)"
629,可能性,n. possibility
630,述べる,"v. describe, say, state"
631,是非,"adv. by all means, please; definitely, certainly"
632,さえ,p. even; besides; if only
633,三人,n. three people
634,料理（する）,"[1] n. cooking, dish [2] v. cook"
635,一部,n. part
636,きっと,"adv. surely, certainly"
637,どうして,adv. why
638,歌う,v. sing
639,なお,"adv. more, still"
640,幾つ,"n. how many, how old"
641,ぞ,p. disc. EMPHASIS
642,ほしい,"i-adj. want, desire"
643,新聞,n. newspaper
644,気付く,"v. notice, become aware"
645,歌,n. song
646,開ける,v. open
647,互い,n. each other
648,着る,"v. put on, wear"
649,違い,n. difference
650,しっかり,"adv. hard, tight"
651,過ぎる,"v. pass, exceed"
652,記憶（する）,[1] n. memory [2] v. memorize
653,思い出,"n. memory, reminiscence"
654,しばらく,"adv. for a while, a minute, for a long time"
655,基本的,"na-adj. basic, fundamental"
656,四月,n. April
657,君【きみ】,n. you
658,笑う,v. laugh; smile
659,いくら,"adv. how much, however"
660,魚,n. fish
661,旅行（する）,"[1] n. journey, travel [2] v. travel"
662,父親,n. father
663,どれ,pron. which
664,見付ける,"v. find, look for"
665,関わる,"v. concern, affect, be involved"
666,無理,"na-adj. unreasonable, impossible; compulsory"
667,健康,n. health
668,味,"n. flavor, taste"
669,深い,i-adj. deep
670,伝える,v. tell; deliver; hand down
671,自由,"[1] n. freedom, liberty [2] na-adj. free"
672,集まる,"v. gather, crowd"
673,戦争,n. war
674,流れる,"v. flow, float, pass"
675,男性,"n. male, man"
676,電車,n. train
677,進める,"v. advance, move forward"
678,含める,"v. include, add"
679,致す,v. do (humble)
680,着く,"v. arrive, reach"
681,厳しい,"i-adj. strict, hard"
682,女の子,n. girl
683,パソコン,n. personal computer
684,おる,"v. be, exist (humble)"
685,活動（する）,[1] n. activity [2] v. be active
686,不安,"[1] n. anxiety, concern [2] na-adj. uneasy, insecure"
687,三十分,n. thirty minutes
688,限り,n. limit
689,いらっしゃる,"v. come, go (honorific); be (honorific)"
690,可能,na-adj. possible
691,可愛い,"i-adj. cute, nice, lovely"
692,際【さい】,"n. when, in case of"
693,途中,n. on the way; in the middle of
694,研究（する）,"[1] n. research, study [2] v. do research, study"
695,様子,"n. state of affairs, situation; appearance"
696,ものすごい,[1] i-adj. terrible [2] adv. terribly
697,合う,"v. fit, suit, agree"
698,済む,"v. end, finish"
699,通る,"v. pass, go along"
700,大人,n. adult
701,期待（する）,[1] n. expectation [2] v. expect
702,事実,"n. fact, actuality"
703,せい,"n. fault, cause for blame, because of"
704,一年,n. one year
705,一体,"n., adv. how, what, why, who"
706,島【しま】,n. island
707,描く,v. draw; describe
708,驚く,v. be surprised
709,動物,n. animal
710,何度,"n. how many times, how often"
711,元々,"adv. from the first, originally"
712,素晴らしい,"i-adj. wonderful, marvelous"
713,座る,v. sit
714,定める,"v. provide; stipulate, decide"
715,機会,n. opportunity
716,楽しみ,"n. pleasure, enjoyment"
717,考え,"n. idea, thought"
718,信じる,"v. believe, trust"
719,たまたま,"adv. accidentally, by chance"
720,古い,i-adj. old
721,さ,p. disc. ATTRACT ATTENTION
722,面【めん】,n. side; page; surface
723,三月,n. March
724,ただし,"conj. but, however, though"
725,常,"[1] n. way [2] adv. always, usually"
726,より,"adv. more, better"
727,つもり,n. intention
728,考え方,"n. way of thinking, attitude"
729,ニュース,n. news
730,意識（する）,"[1] n. consciousness, awareness [2] v. be conscious"
731,元【もと】,n. beginning; original
732,行動（する）,"[1] n. action, act [2] v. act, behave"
733,低い,"i-adj. low, short"
734,びっくり（する）,"[1] n. surprise [2] v. be surprised, be amazed"
735,作り方,n. how to make
736,元気,"[1] n. health, vigor [2] na-adj. lively, vigorous, well"
737,現われる,"v. appear, come into sight"
738,聞こえる,v. hear; sound
739,曲,"n. piece (music), song, tune"
740,過去,n. past
741,やっと,adv. at last
742,思える,v. it seems that
743,明らか,"na-adj. clear, obvious"
744,つつ,p. conj. while doing; though
745,土地,"n. land, ground"
746,振り返る,"v. turn one’s head, look back"
747,初め,n. beginning
748,評価（する）,[1] n. evaluation [2] v. evaluate
749,息子,n. son
750,限る,"v. limit, restrict"
751,似る,"v. look like, resemble"
752,悲しい,"i-adj. sad, unhappy"
753,雨,n. rain
754,自分達,n. themselves; ourselves
755,詳しい,"i-adj. detailed, know well, in detail"
756,二十一世紀,n. twenty-first century
757,ひどい,"i-adj. cruel, serious, terrible"
758,昨日,n. yesterday
759,下りる,v. go down; come down
760,メール,n. e-mail
761,まあ,"adv. Oh!, well, now"
762,喜ぶ,"v. be glad, rejoice"
763,便利,"[1] n. convenience [2] na-adj. useful, convenient"
764,迎える,"v. go to meet, invite, receive"
765,耳,n. ear
766,表現（する）,[1] n. expression [2] v. express
767,動き,"n. movement, action, motion"
768,注意（する）,"[1] n. attention [2] v. notice, be careful"
769,では,"conj. then, well"
770,てあげる,cp. do something for somebody
771,雰囲気,"n. atmosphere, ambience"
772,立場,"n. position, standpoint, situation"
773,基づく,v. be based
774,間【ま】,"n. time, interval; space"
775,ことがある,cp. have done; there are sometimes
776,痛い,"i-adj. painful, hurt"
777,お父さん,n. father
778,辺り,n. area around
779,てやる,cp. do something for somebody/something
780,将来,n. future
781,乗せる,"v. take on, put on, pick up"
782,自転車,n. bicycle
783,白い,i-adj. white
784,川,"n. river, stream"
785,用いる,"v. use, adopt"
786,隣り,"n. next door, next"
787,普段,"n. usually, ordinarily"
788,法律,n. law
789,妻,n. wife
790,冬,n. winter
791,具体的,"na-adj. specific, concrete"
792,もと,n. under
793,発生（する）,"[1] n. occurrence [2] v. occur, happen"
794,繰り返す,"v. repeat, do over again"
795,泣く,v. cry
796,七,n. seven
797,手紙,n. letter
798,出かける,"v. go out, leave"
799,努力（する）,[1] n. effort [2] v. make an effort
800,増加（する）,"[1] n. increase, gain [2] v. increase, grow"
801,判断（する）,[1] n. judgment [2] v. judge
802,両親,n. (both) parents
803,残念,"na-adj. disappointing, regrettable"
804,おそらく,"adv. probably, likely"
805,家庭,"n. home, household, family"
806,軽い,"i-adj. light, slight"
807,払う,v. pay; sweep away
808,つながる,"v. be connected, be related"
809,船,"n. ship, boat"
810,九月,n. September
811,きっかけ,"n. opportunity, motive"
812,授業,"n. class, lesson at school"
813,亡くなる,"v. die, pass away"
814,止める【とめる】,v. stop
815,不思議,"[1] n. wonder [2] na-adj. wonderful, strange, mysterious"
816,茶,n. tea; brown
817,直接,"n., adv. directly, direct"
818,バス,n. bus
819,効果,"n. effectiveness, effect"
820,現実,"n. reality, actuality"
821,触れる,v. touch; experience
822,飼う,"v. keep, have, breed"
823,しゃべる,"v. talk, chat"
824,国民,"n. nation, people (of country), public"
825,さす,v. shine; pour; put
826,やり方,"n. way of doing, how to, approach"
827,ずいぶん,"adv. very, pretty, quite"
828,日本語,n. Japanese language
829,十月,n. October
830,気分,"n. feeling, mood"
831,開発（する）,[1] n. development [2] v. develop
832,殺す,v. kill
833,特徴,"n. characteristic, feature"
834,神,"n. God, deity, spirit"
835,暮らす,v. live
836,飛ぶ,v. fly
837,終わり,n. end
838,雑誌,n. magazine
839,怒る,v. get angry
840,整備（する）,"[1] n. maintenance, service [2] v. prepare"
